,checkins,fan_count,name,lat,lon
232,3545,1033,Křižíkova fontána,50.107316869564,14.429315701471
233,3544,470,Lokál Nad Stromovkou,50.10302,14.41835
234,3535,1761,BeerGeek Bar,50.077211848823,14.450130366467
235,3505,209,The PUB - 'Pilsner Unique Bar' Praha 1,50.08801,14.41598
236,3454,183,Kulaťák,50.10048,14.39715
237,3453,3240,Popocafepetl Michalská,50.08531,14.41978
238,3436,385,Lokál Hamburk,50.092986159908,14.446565262985
239,3429,144,Zrcadlové Bludiště,50.083368886108,14.396125650178
240,3427,353,Pragueforyou Apartments,50.09148813,14.43283639
241,3425,113,Vystaviste Holesovice,50.104566024541,14.431848527157
242,3409,54854,Český rozhlas,50.07859,14.4345
243,3398,102,The Head of Franz Kafka,50.0817413,14.4212904
244,3395,37,"Praha Wenceslas Square, Prague",50.074763439802,14.427654718196
245,3377,3126,Potrefená husa Na Verandách,50.06854,14.40656
246,3363,146,Drezden,50.07913,14.43303
247,3355,270,Restaurant Zlatý Klas,50.0718034,14.4008506
248,3336,11571,TGI Fridays CZ,50.070555041696,14.404277801514
249,3302,1071,Baráčnická rychta,50.08797,14.40013
250,3286,5420,Café NONA,50.081318522935,14.414628401276
251,3264,1867,"Sophie's Hostel & Miss Sophie's Hotel, Prague",50.0751,14.42708
252,3260,42,"Náměstí Míru, Praha 2",50.07495,14.435355
253,3230,5515,ČVUT Fakulta stavební,50.104139569652,14.388501151607
254,3211,5807,angelo by Vienna House Prague,50.07081,14.4013
255,3198,1809,Farmářské trhy na Jiřáku,50.078045213289,14.449441527021
256,3197,195,Cinema City 4Dx Nový Smíchov,50.073840739673,14.402418769167
257,3121,1160,Galerie Mánes,50.077373788435,14.414029808775
258,3107,507,Smíchovská Náplavka,50.0684882,14.410331
259,3106,114,Park Stromovka,50.105074873238,14.429062869687
260,3104,5050,Vinobraní na Grébovce,50.069786056265,14.445517581928
261,3104,19,Letná Park,50.093736,14.412533
262,3101,167,U Sadu,50.08078,14.449
263,3097,162,Staroměstský orloj,50.087008333333,14.420916666667
264,3086,176,ibis Praha Wenceslas Square,50.07497,14.4275
265,3061,219,Zimní stadion Hasa,50.067148946908,14.446461932562
266,3055,68155,Make-Up Institute Prague,50.075296029231,14.44572294404
267,3050,240,Narodni Divadlo - Statni Opera House. Praha,50.0805092,14.4330196
268,3013,17444,LETNÍ LETNÁ,50.094269455163,14.411730636842
269,2995,8668,Klubovna,50.098197217794,14.388256786033
270,2973,11745,Kavárna Kočičí,50.091208149857,14.446608184906
271,2963,14561,Tiskárna na Vzduchu,50.105061176134,14.428901776859
272,2956,137,Staroměstské náměstí,50.0875,14.421388888889
273,2941,6789,ČVUT FEL,50.1025599,14.39231
274,2929,47,Strahov,50.08116,14.39337
275,2922,19428,Kavárna co hledá jméno,50.0697517,14.40347
276,2917,1801,Butchers Restaurant Grill & Pasta,50.091715001172,14.434129337571
277,2913,1155,Pachtuv Palace,50.084688982496,14.414031184626
278,2897,236,Hostinec U Mrtvýho Ptáka,50.091395223112,14.445841328509
279,2876,56,Náměstí Republiky,50.088909722222,14.430471388889
280,2868,121,Vojanovy sady,50.088674580632,14.408116789634
281,2850,170,Valdštejnská jízdárna,50.091093546734,14.409029184097
282,2837,4004,CrossFit Committed,50.102665034051,14.438179645194
283,2834,3187,Divadlo Semafor,50.09913,14.39761
284,2805,12709,Vysoká škola uměleckoprůmyslová v Praze,50.088655541543,14.414920806885
285,2799,21,"St. Vitus Cathedral, Prague Castle",50.088210353333,14.421355326667
286,2763,50,Tv Tower Prague,50.081009,14.450961
287,2761,648,Na Slamníku,50.10365284587,14.408319529507
288,2753,34,"Košíře, Praha",50.066976933787,14.370147027089
289,2744,11005,(A)VOID Floating Gallery,50.068184045085,14.414423123029
290,2743,5574,VILA Štvanice,50.09564,14.43603
291,2712,6497,Bukowski's Bar,50.083061876026,14.448704756116
292,2710,157,Paul,50.0811583,14.427793
293,2666,3103,La Bottega Bistroteka,50.090752952542,14.426908121985
294,2658,969,Red and Blue Design Hotel Prague,50.07760940125,14.401554986028
295,2641,236,Praga  centro,50.08530371618,14.419139137946
296,2630,73,Potrefena Husa Hybernska,50.084223476211,14.433651967087
297,2621,9336,Quadrio,50.08181,14.41939
298,2595,3434,Loreta Praha / Loreto Prague,50.089267809126,14.391832889823
299,2587,755,Farmářské trhy na Kulaťáku,50.101433706056,14.39367883739
300,2582,79,Hala Královka,50.101468304545,14.416148527273
301,2571,108,Monestary of the Infant Jesus of Prague,50.08552,14.40381
302,2554,541,Masarykova Kolej,50.10102,14.38705
303,2548,10828,Hardcore Tréninky,50.077227341055,14.440026283264
304,2548,530,U Černého Vola,50.08814,14.39186
305,2536,466,Gynekologicko-porodnická klinika 1. LF UK a VFN v Praze,50.07139,14.42658
306,2525,249,Cine Star-Gold Class,50.071189809698,14.401598652439
307,2515,7084,Field Restaurant,50.09182,14.42194
308,2496,11297,Paralelní Polis,50.1034203,14.4504805
309,2485,1213,Loft N8,50.08516,14.42761
310,2470,59,Strossmayerovo Náměstí,50.0987105,14.43206170923
311,2463,2269,B52,50.07222,14.44345
312,2445,37,"Namesti Miru, Praha 2 - Vinohrady",50.072943,14.442248
313,2437,28,Výstaviště Holešovice,50.10046,14.43334
314,2377,1073,Hanabi Sushi House,50.09148,14.43347
315,2375,3540,Prague Boats,50.092312302511,14.418321455834
316,2367,7166,Vertigo Pole Fitness,50.073853682887,14.440651482499
317,2354,125,Park Folimanka,50.066595385558,14.427381441151
318,2349,14980,Plevel,50.071594990371,14.447185227869
319,2327,5465,Loď Tajemství,50.07021,14.41458
320,2324,10591,Stalin,50.094602635303,14.416074156761
321,2312,206,Restaurace Klamovka,50.07149,14.37762
322,2305,40974,Harley Davidson Praha,50.066523724611,14.38230008804
323,2302,7630,Divadlo v Dlouhé,50.09079,14.4269
324,2298,1216,Prague Beach Team,50.090903710872,14.375607659945
325,2284,332,T-Anker Praha,50.0891,14.4277
326,2281,15,"Střelecký Island, Prague",50.08300864375,14.41007054625
327,2247,3687,Hells Bells Rockin' Pub,50.071655303181,14.40568605778
328,2242,232,Pizzerie Mediterane,50.07116,14.40155
329,2206,5582,IF Café,50.0744,14.43202
330,2186,7139,Přístav 18600,50.095851735723,14.448192763648
331,2173,1835,MindMaze Escape Game Prague,50.07301264992,14.431018744511
332,2152,245,Tunel Blanka,50.097953492805,14.406311890008
333,2121,44,Sokol Praha - Královské Vinohrady,50.078670214048,14.442538715334
334,2112,156,Pizzeria Grosseto,50.10324,14.39541
335,2106,12401,Dejvické divadlo,50.106822125821,14.393003475919
336,2095,181,Kostel Panny Marie Vítězné a svatého Antonína Paduánského,50.085555555556,14.403611111111
337,2088,483,Pivnice Hlávkův Dvůr,50.08027,14.42345
